Hotel,Count,Business,Leisure
Hotel Bellevue Wien,29,7,22
Hotel Am Konzerthaus Vienna MGallery by Sofitel,114,21,93
Park Hyatt Vienna,39,9,30
Hilton Vienna,285,53,232
Schlosshotel R mischer Kaiser,131,13,118
Hotel Mailberger Hof,173,25,148
Novotel Wien City,138,16,122
The Levante Parliament A Design Hotel,188,30,158
Vienna Sporthotel,35,13,22
Hotel Boltzmann,35,7,28
Hotel ViennArt am Museumsquartier,252,47,205
Hotel Sans Souci Wien,117,10,107
Palais Coburg Residenz,4,1,3
City Rooms,31,8,23
Mercure Vienna First,44,4,40
Melia Vienna,274,62,212
Graben Hotel,52,12,40
Austria Trend Hotel Lassalle Wien,73,23,50
The Guesthouse Vienna,130,14,116
Hotel Johann Strauss,66,24,42
Hotel Mercure Wien Westbahnhof,43,6,37
Hotel Eitlj rg,7,1,6
Mercure Wien Zentrum,89,15,74
Best Western Premier Kaiserhof Wien,132,14,118
FourSide Hotel Suites Vienna,59,18,41
Mercure Secession Wien,51,8,43
City Hotel Deutschmeister,57,17,40
FourSide Hotel Vienna City Center,90,21,69
Hotel Vienna,75,13,62
Rainers Hotel Vienna,114,11,103
Austria Trend Hotel Bosei Wien,194,38,156
Pertschy Palais Hotel,178,23,155
Alma Boutique Hotel,81,20,61
Hilton Vienna Danube Waterfront,247,49,198
The Harmonie Vienna,89,10,79
Hotel Park Villa,34,6,28
Senator Hotel Vienna,128,12,116
Hotel J ger,18,2,16
Steigenberger Hotel Herrenhof,240,22,218
Radisson Blu Style Hotel Vienna,119,8,111
Hilton Garden Inn Vienna South,9,4,5
Austria Trend Parkhotel Sch nbrunn Wien,240,29,211
Club Hotel Cortina,31,6,25
Arion Cityhotel Vienna und Appartements,248,37,211
Gartenhotel Altmannsdorf Hotel 1,9,7,2
Hotel Mercure Wien City,68,7,61
Am Spiegeln,13,10,3
Hotel Gallitzinberg,5,3,2
InterContinental Wien,73,14,59
Mercure Josefshof Wien,242,28,214
Fleming s Selection Hotel Wien City,377,56,321
Cordial Theaterhotel Wien,34,3,31
Hollmann Beletage Design Boutique,43,4,39
Hotel Bristol A Luxury Collection Hotel,34,2,32
Hotel Imperial A Luxury Collection Hotel,34,5,29
The Ring Vienna s Casual Luxury Hotel,106,11,95
Grand Hotel Wien,125,17,108
Hotel Ambassador,110,22,88
Austria Trend Hotel Astoria Wien,214,35,179
Austria Trend Hotel Europa Wien,259,34,225
Hotel Schani Wien,218,32,186
K K Hotel Maria Theresia,272,38,234
Small Luxury Hotel Altstadt Vienna,70,6,64
Der Wilhelmshof,123,18,105
Hotel Daniel Vienna,158,20,138
Eurostars Embassy,86,24,62
BEST WESTERN PLUS Amedia Wien,207,35,172
Mercure Grand Hotel Biedermeier Wien,97,23,74
Hotel Rathaus Wein Design,134,10,124
25hours Hotel beim MuseumsQuartier,350,48,302
Hotel Topazz,85,16,69
Hotel Kavalier,189,20,169
Falkensteiner Hotel Wien Margareten,84,13,71
Holiday Inn Vienna City,32,2,30
pentahotel Vienna,66,9,57
IntercityHotel Wien,219,37,182
Boutiquehotel Das Tyrol,50,1,49
NH Wien City,128,36,92
Hotel Corvinus,45,11,34
NH Collection Wien Zentrum,155,25,130
Leonardo Hotel Vienna,422,59,363
JUFA Hotel Wien,229,36,193
Pakat Suites Hotel,52,8,44
Fleming s Conference Hotel Wien,135,27,108
ARCOTEL Wimberger,92,22,70
Hotel Schild,53,8,45
Das Opernring Hotel,94,15,79
Exe Vienna,211,42,169
Hotel Beethoven Wien,79,4,75
Roomz Vienna,27,10,17
Hotel Am Parkring,171,34,137
Vienna Marriott Hotel,108,21,87
Hotel Palais Strudlhof,55,19,36
Arthotel ANA Westbahn,36,6,30
Hotel Wandl,173,57,116
Hotel Sacher Wien,50,4,46
Sofitel Vienna Stephansdom,78,14,64
Austria Trend Hotel Rathauspark Wien,171,21,150
Hotel Landhaus Fuhrgassl Huber,28,5,23
Hotel Parco di Sch nbrunn Vienna,32,8,24
Lindner Hotel Am Belvedere,47,20,27
NH Wien Belvedere,100,29,71
Austria Trend Hotel Savoyen Vienna,373,77,296
Austria Trend Hotel Doppio Wien,168,34,134
Appartement Hotel an der Riemergasse,99,12,87
Saint SHERMIN bed breakfast champagne,83,16,67
Le Meridien Vienna,251,29,222
Hotel Regina,148,50,98
Hotel Imlauer Wien,100,15,85
Hotel Nestroy Wien,47,4,43
Hotel Lam e,84,15,69
K K Palais Hotel,126,11,115
Austria Trend Hotel Schloss Wilhelminenberg Wien,107,12,95
Courtyard by Marriott Vienna Schoenbrunn,51,6,45
Arthotel ANA Prime,171,33,138
Austria Trend Hotel Park Royal Palace Vienna,240,45,195
Falkensteiner Hotel Wien Zentrum Schottenfeld,55,10,45
Hilton Vienna Plaza,166,33,133
Palais Hansen Kempinski Vienna,79,9,70
Hotel de France Wien,516,73,443
Grand Ferdinand Vienna Your Hotel In The City Center,275,52,223
Hotel Am Schubertring,157,25,132
The Ritz Carlton Vienna,50,4,46
Hotel K nig von Ungarn,100,14,86
Hotel Domizil,107,15,92
Hotel Capricorno,230,30,200
Derag Livinghotel Kaiser Franz Joseph Vienna,66,17,49
Simm s Hotel,48,12,36
Hotel Royal,86,9,77
Austria Trend Hotel Ananas Wien,296,52,244
Hotel Zeitgeist Vienna Hauptbahnhof,46,11,35
AZIMUT Hotel Vienna,82,13,69
DO CO Hotel Vienna,65,12,53
Hotel Am Stephansplatz,57,5,52
Best Western Hotel Pension Arenberg Wien Zentrum,117,21,96
Hotel Stefanie,408,41,367
Hotel City Central,268,40,228
Hotel Das Tigra,182,25,157
Courtyard by Marriott Vienna Prater Messe,98,28,70
Imperial Riding School Renaissance Vienna Hotel,176,33,143
Aparthotel Adagio Vienna City,186,27,159
Hotel Arkadenhof,10,5,5
Hotel Pension Baron am Schottentor,130,18,112
Hotel Atlanta,214,38,176
Park Inn by Radisson Uno City Vienna,174,60,114
NH Danube City,112,60,52
Strandhotel Alte Donau,17,10,7
ARCOTEL Kaiserwasser Superior,74,36,38
Mercure Hotel Raphael Wien,85,10,75
Arthotel ANA Boutique Six,189,39,150
Austria Trend Hotel Anatol Wien,67,7,60
Hotel Kaiserin Elisabeth,184,23,161
Hotel Prinz Eugen,253,20,233
Hotel Erzherzog Rainer,317,54,263
Das Triest Hotel,19,3,16
Suite Hotel 900 m zur Oper,219,47,172
Hotel Amadeus,67,13,54
Atlantis Hotel Vienna,179,16,163
total,,3369,16645
