Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
1 3 Rue d Argentine 16th arr 75116 Paris France,26,11/11/2016,8.4,Monhotel Lounge SPA, Belgium , The sauna is a wonderfull addition it s a shame I had to slalom in the cleaning staff halway almost filled with cleaning products Also the proximity to the cleaning staff s room added all the noise to what was supposed to be a quiet moment maybe it would be a good idea to relocate their general quarter ,60, Good location really good breakfast maybe the best I ever had in Paris in a confortable and stylish setting Everything you need is provided on site you can literally arrive with your hands in your pockets Helpfull and attentive staff ,42,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1 3 Rue d Argentine 16th arr 75116 Paris France,26,8/28/2016,8.4,Monhotel Lounge SPA, Qatar , They have maintenance and I couldn t enjoy the balcony view ,13, I asked to be downgraded because I was paying for a balcony room while I couldn t enjoy the balcony Instead they upgraded me with the biggest room in the hotel for the same rate ,37,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room with Balcony ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
1 3 Rue d Argentine 16th arr 75116 Paris France,26,2/22/2016,8.4,Monhotel Lounge SPA, Brazil , Nothing to declare ,5, The hotel brings a high style of modernity and glamour The staff is always ready to help in anything and the amazing location between the turistic and business area in Paris ,33,10.0,"[' Business trip ', ' Solo traveler ', ' Premium Double Room ', ' Stayed 3 nights ']"
1 3 Rue d Argentine 16th arr 75116 Paris France,26,10/4/2015,8.4,Monhotel Lounge SPA, Luxembourg , Could improve on breakfast items grapefruit juice was not fresh anymore scrambled eggs not enough cooked ,18, design hotel ideally located close to both the Porte Maillot convention center and the champs Elys e area very helpful staff even before and after end of the stay ,31,8.3,"[' Business trip ', ' Couple ', ' Deluxe Double Room with Balcony ', ' Stayed 3 nights ']"
1 3 Rue d Argentine 16th arr 75116 Paris France,26,2/24/2017,8.4,Monhotel Lounge SPA, United Kingdom , Breakfast was expensive so I didn t take it ,11, Nice atmosphere Comfortable bed Quiet and restful,8,9.6,"[' Business trip ', ' Solo traveler ', ' Premium Double Room ', ' Stayed 1 night ']"
1 5 Passage Ruelle 18th arr 75018 Paris France,13,9/6/2016,7.2,Kube Hotel Ice Bar, United Kingdom , Limited food available from the reception bar ,9, Staff very friendly and helpful location perfect for getting anywhere we needed to go in Paris and decor of the hotel was cool ,25,9.2,"[' Business trip ', ' Group ', ' Kube Double or Twin Room ', ' Stayed 2 nights ']"
1 5 Passage Ruelle 18th arr 75018 Paris France,13,1/21/2016,7.2,Kube Hotel Ice Bar, Ireland , Toilet not clean on arrival no shower curtain shower fixture loose bad smell in room ,17, Room was spacious bed very comfortable interesting building ,10,4.6,"[' Business trip ', ' Solo traveler ', ' Kube Double or Twin Room ', ' Stayed 2 nights ']"
1 5 Passage Ruelle 18th arr 75018 Paris France,13,11/3/2015,7.2,Kube Hotel Ice Bar, Italy , very bad area in the station neighborhood staff couldn t speak English so it was extremely difficult to communicate lack of communication among staff which forced me to repeat things to each member of staff it took me 1 hr to check out ,45, only the room decor,5,5.4,"[' Business trip ', ' Couple ', ' Kube Double or Twin Room ', ' Stayed 4 nights ']"
1 5 Passage Ruelle 18th arr 75018 Paris France,13,11/3/2015,7.2,Kube Hotel Ice Bar, Italy , very bad location very shabby area staff did not speak good English so very difficult to communicate,18, nice room design,4,5.4,"[' Business trip ', ' Couple ', ' Kube Double or Twin Room ', ' Stayed 1 night ']"
1 Avenue Carnot 17th arr 75017 Paris France,75,7/31/2016,8.9,Splendid Etoile, United Kingdom , There are not many facilities like swimming pool or gym and the different areas are very smal like the breakfast room the lobby or the bar Not hot food for breakfast ,33, Very comfortable clean refurbished and great location ,9,8.3,"[' Business trip ', ' Group ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
