Hotel,Count,Business,Leisure
Monhotel Lounge SPA,15,5,10
Kube Hotel Ice Bar,14,4,10
Splendid Etoile,44,6,38
Hotel Trianon Rive Gauche,128,19,109
Novotel Suites Paris Nord 18 me,103,8,95
Select Hotel,119,14,105
H tel De Vend me,39,7,32
Pullman Paris Centre Bercy,111,8,103
Gardette Park Hotel,95,15,80
Hotel Panache,44,9,35
H tel des Ducs D Anjou,68,14,54
Hotel Scribe Paris Opera by Sofitel,70,13,57
H tel Juliana Paris,82,12,70
Hotel L Antoine,86,12,74
Belfast,46,15,31
Shangri La Hotel Paris,13,2,11
Mercure Paris Tour Eiffel Pont Mirabeau,40,7,33
Hotel Le 10 BIS,15,6,9
Crowne Plaza Paris R publique,121,22,99
Le Metropolitan a Tribute Portfolio Hotel,33,6,27
Atala Champs Elys es,8,3,5
H tel de Jos phine BONAPARTE,37,4,33
Maison Souquet,33,3,30
Hotel Tour d Auvergne Opera,18,2,16
Le Senat,56,6,50
Windsor Opera,13,3,10
Holiday Inn Paris Montparnasse Pasteur,22,2,20
H tel Keppler,46,7,39
Les Plumes Hotel,67,6,61
Hotel des Tuileries Relais du Silence,46,8,38
Bradford Elys es Astotel,41,4,37
Amp re,82,15,67
Melia Paris Champs Elys es,8,5,3
Le Parisis Paris Tour Eiffel,217,20,197
Hilton Paris Opera,57,13,44
Holiday Inn Paris Gare de Lyon Bastille,198,24,174
H tel Chaplain Paris Rive Gauche,59,7,52
H tel Regina Op ra Grands Boulevards,26,2,24
Hotel Astor Saint Honor ,15,3,12
Op ra Marigny,64,10,54
H tel Diva Opera,134,23,111
Le Marcel,46,6,40
H tel Duo,131,37,94
H tel Le Marianne,27,10,17
Hotel Eden,39,6,33
H tel de la Bourdonnais,160,19,141
Best Western Premier Marais Grands Boulevards,134,17,117
Le Dokhan s a Tribute Portfolio Hotel,30,8,22
Le Relais Madeleine,35,3,32
Terrass H tel Montmartre by MH,106,8,98
Millennium Hotel Paris Opera,74,23,51
Waldorf Madeleine,148,28,120
Hotel La Lanterne,59,7,52
H tel Square Louvois,37,8,29
Hotel Marignan Champs Elys es,82,12,70
Le Grey Hotel,35,7,28
Le Pavillon des Lettres,22,2,20
H tel San R gis,38,5,33
Garden Elys e,37,7,30
Hotel Louvre Montana,31,4,27
Le 123 S bastopol Astotel,63,12,51
Le 123 Elysees Astotel,19,3,16
Best Western Mercedes Arc de Triomphe,37,7,30
1K Hotel,95,20,75
H tel Westminster,173,23,150
L H tel,45,6,39
Mercure Paris Porte d Orleans,6,2,4
Maxim Op ra,23,2,21
Le Marceau Bastille,85,19,66
Hotel Odeon Saint Germain,89,8,81
La Villa Haussmann,23,6,17
Sofitel Paris Arc De Triomphe,93,15,78
Hotel Mercure La Sorbonne Saint Germain des Pr s,41,7,34
La Tremoille Paris,30,1,29
Hotel Op ra Richepanse,104,9,95
