Hotel,Count,Business,Leisure
Hotel VIU Milan,25,7,18
Maison Borella,52,6,46
Worldhotel Cristoforo Colombo,277,60,217
IH Hotels Milano Puccini,92,13,79
Best Western Hotel City,89,20,69
Ch teau Monfort Relais Ch teaux,107,11,96
Palazzo Parigi Hotel Grand Spa Milano,48,9,39
Hotel Lloyd,108,23,85
Hotel Romana Residence,186,20,166
Hotel Crivi s,38,12,26
Hotel Galileo,112,34,78
Carlyle Brera Hotel,118,36,82
Boscolo Milano Autograph Collection,102,18,84
Mokinba Hotels King,68,12,56
Qualys Hotel Nasco,108,23,85
Enterprise Hotel Design Boutique,120,26,94
IH Hotels Milano Ambasciatori,159,40,119
NH Collection Milano President,304,57,247
Hotel Dieci,28,22,6
ME Milan Il Duca,62,12,50
Hotel Principe Di Savoia,115,27,88
The Westin Palace,100,21,79
Glam Milano,677,141,536
Excelsior Hotel Gallia Luxury Collection Hotel,121,21,100
Rosa Grand Milano Starhotels Collezione,293,50,243
TownHouse 12,44,13,31
Hotel Mozart,269,62,207
Hotel Dei Cavalieri,319,39,280
Best Western Plus Hotel Galles,331,74,257
Starhotels Anderson,259,48,211
Hotel Michelangelo,296,67,229
Hotel Mercure Milano Centro,37,6,31
NYX Milan,87,26,61
The Yard Milano,80,12,68
Hotel Sunflower,23,13,10
Room Mate Giulia,220,33,187
Hotel Tocq,21,8,13
The Square Milano Duomo,378,54,324
Mandarin Oriental Milan,16,2,14
Art Hotel Navigli,162,25,137
Brunelleschi Hotel,260,59,201
Camperio House Suites Apartments,73,9,64
TownHouse 33,33,4,29
Hotel Regina,28,5,23
Hotel Capitol Milano,35,20,15
Hotel Clerici,48,9,39
UNA Hotel Cusani,137,25,112
Hotel Pierre Milano,31,6,25
MiHotel,13,7,6
Hotel Milano Scala,122,33,89
IH Hotels Milano Gioia,258,27,231
Style Hotel,33,7,26
Andreola Central Hotel,116,14,102
Hotel Bristol,31,12,19
Admiral Hotel,16,12,4
UNA Hotel Century,202,25,177
Hotel Marconi,142,19,123
Hotel Cavour,180,39,141
Best Western Plus Hotel Felice Casati,160,33,127
Nu Hotel,62,17,45
Hotel Magna Pars Small Luxury Hotels of the World,41,4,37
Mercure Milano Regency,18,6,12
Hotel Auriga,138,22,116
Hotel Portello Gruppo Minihotel,40,20,20
Idea Hotel Milano San Siro,264,33,231
Windsor Hotel Milano,253,37,216
Four Points Sheraton Milan Center,63,16,47
Four Seasons Hotel Milano,20,5,15
IH Hotels Milano Watt 13,104,25,79
LaGare Hotel Milano Centrale MGallery by Sofitel,269,41,228
Barcel Milan,142,35,107
UNA Hotel Scandinavia,40,11,29
Acca Palace,113,21,92
Sina De La Ville,149,31,118
UNA Hotel Mediterraneo,32,8,24
Hotel La Spezia Gruppo MiniHotel,11,2,9
NH Milano Machiavelli,96,22,74
Hotel Sanpi Milano,76,11,65
Best Western Hotel Ascot,127,31,96
Ca Bianca Hotel Corte Del Naviglio,45,12,33
IH Hotels Milano Lorenteggio,108,38,70
Hilton Garden Inn Milan North,267,46,221
DoubleTree By Hilton Milan,27,12,15
Hilton Milan,129,25,104
Hotel Wagner,5,1,4
Hotel Boutique Duomo,32,6,26
Hotel Manin,118,33,85
Grand Hotel et de Milan,28,7,21
Armani Hotel Milano,64,8,56
Meli Milano,63,17,46
Hotel Mediolanum,59,6,53
UNA Maison Milano,131,12,119
Novotel Milano Linate Aeroporto,107,27,80
Hotel Carrobbio,78,16,62
NH Milano Grand Hotel Verdi,80,28,52
Crowne Plaza Milan City,63,14,49
Leonardo Hotel Milan City Center,74,8,66
Petit Palais Hotel De Charme,42,7,35
Mokinba Hotels Montebianco,26,6,20
Hotel Mentana,81,20,61
Atahotel Contessa Jolanda,70,17,53
Hotel Berna,420,60,360
Best Western Atlantic Hotel,151,16,135
LHP Hotel Napoleon,43,10,33
Ibis Styles Milano Palmanova,7,1,6
Mokinba Hotels Baviera,64,12,52
Hotel Vittoria,43,11,32
Starhotels Business Palace,287,56,231
Hotel Mercure Milano Solari,34,4,30
ADI Hotel Poliziano Fiera,73,12,61
Bulgari Hotel Milano,9,0,9
Best Western Madison Hotel,206,39,167
The Hub Hotel,40,9,31
Hotel Silver,17,11,6
Colombia,78,23,55
Antares Hotel Rubens,48,9,39
STRAF a Member of Design Hotels ,117,22,95
Sina The Gray,42,5,37
Antica Locanda Dei Mercanti,35,2,33
Palazzo Segreti,34,9,25
Hotel Santa Marta Suites,85,11,74
TH Street Duomo,19,5,14
Uptown Palace,219,35,184
Hotel Manzoni,86,14,72
Senato Hotel Milano,97,17,80
Baglioni Hotel Carlton The Leading Hotels of the World,68,12,56
Hotel Da Vinci,1167,106,1061
TownHouse Duomo,36,7,29
TownHouse Galleria,71,8,63
Hotel Spadari Al Duomo,90,9,81
Starhotels Ritz,348,74,274
Ramada Plaza Milano,194,24,170
NH Milano Touring,318,34,284
AC Hotel Milano a Marriott Lifestyle Hotel,38,8,30
