Hotel,Count,Business,Leisure
K K Hotel George,323,59,264
Apex Temple Court Hotel,493,69,424
The Park Grand London Paddington,962,187,775
The Principal London,779,171,608
Park Plaza County Hall London,1198,133,1065
One Aldwych,66,6,60
InterContinental London Park Lane,69,19,50
Grand Royale London Hyde Park,1738,289,1449
Milestone Hotel Kensington,37,3,34
Crowne Plaza London Kings Cross,568,140,428
Novotel London West,690,151,539
Haymarket Hotel,58,2,56
Intercontinental London The O2,1367,61,1306
Knightsbridge Hotel,71,10,61
The London EDITION,71,13,58
The Cranley Hotel,97,14,83
The Nadler Soho,240,26,214
Grange St Paul s Hotel,646,80,566
The Ampersand Hotel,187,20,167
Covent Garden Hotel,33,3,30
The Nadler Victoria,309,67,242
Novotel London Tower Bridge,185,42,143
W London Leicester Square,158,17,141
The Victoria,105,12,93
Pullman London St Pancras,589,91,498
Crowne Plaza London Kensington,138,15,123
Doubletree by Hilton London Kensington,558,75,483
Ace Hotel London Shoreditch,281,46,235
Staybridge Suites London Vauxhall,113,12,101
The Grosvenor,865,101,764
The Park Tower Knightsbridge a Luxury Collection Hotel,106,13,93
Thistle Kensington Gardens,491,61,430
Park Plaza Sherlock Holmes London,325,64,261
The Kensington Hotel,180,25,155
Holiday Inn London Stratford City,473,50,423
Staybridge Suites London Stratford,245,28,217
Shepherd s Bush Boutique Hotel,311,70,241
My Bloomsbury,265,73,192
11 Cadogan Gardens,83,13,70
The Wellesley Knightsbridge a Luxury Collection Hotel London,28,5,23
The Rembrandt,391,43,348
Ashburn Hotel,128,20,108
Marlin Waterloo,45,15,30
Novotel London Waterloo,184,38,146
The Athenaeum,93,21,72
Park International Hotel,303,69,234
Lansbury Heritage Hotel,25,13,12
Batty Langley s,145,33,112
Best Western Mornington Hotel Hyde Park,470,109,361
Arbor City,391,136,255
Ambassadors Bloomsbury,443,130,313
The Bryson Hotel,88,41,47
London Marriott Hotel Regents Park,412,23,389
Hilton London Hyde Park,139,11,128
Staunton Hotel B B,132,24,108
Mercure London Bloomsbury Hotel,306,59,247
The Chamberlain,446,102,344
Radisson Blu Edwardian Grafton,758,181,577
London Marriott Hotel Marble Arch,241,15,226
Saint Georges Hotel,405,139,266
Park Grand London Lancaster Gate,295,68,227
The Henrietta Hotel,6,1,5
The Bailey s Hotel London,560,79,481
London Marriott Hotel Park Lane,36,6,30
Hotel Indigo London Tower Hill,159,26,133
Windermere Hotel,32,8,24
Mercure London Paddington Hotel,344,105,239
Hilton London Paddington,616,116,500
London Marriott Hotel Kensington,116,18,98
Kensington House Hotel,161,32,129
Charlotte Street Hotel,59,3,56
The Goring,40,3,37
The Pelham Starhotels Collezione,176,29,147
The Montague On The Gardens,188,33,155
The Leonard Hotel,245,60,185
DoubleTree by Hilton London Hyde Park,512,65,447
The Ritz London,178,15,163
M by Montcalm Shoreditch London Tech City,1127,157,970
Clayton Crown Hotel London,610,82,528
St Paul s Hotel,186,46,140
The Bloomsbury Hotel,294,40,254
Hotel Indigo London Paddington,157,30,127
Number Sixteen,43,9,34
Hotel Xenia Autograph Collection,167,24,143
Britannia International Hotel Canary Wharf,2646,801,1845
Hilton London Euston,253,56,197
Egerton House,19,4,15
Millennium Hotel London Knightsbridge,474,79,395
Hotel La Place,58,24,34
Bulgari Hotel London,13,1,12
Novotel London Greenwich,255,26,229
Park Avenue Baker Street,473,151,322
Malmaison London,379,61,318
The Park City Grand Plaza Kensington Hotel,124,14,110
Park Plaza London Riverbank,1240,184,1056
Danubius Hotel Regents Park,307,69,238
The Rockwell,317,89,228
The LaLit London,36,17,19
Courthouse Hotel London,506,55,451
Best Western The Boltons Hotel London Kensington,342,89,253
Radisson Blu Edwardian Sussex,332,114,218
The Pillar Hotel,43,15,28
Crowne Plaza London The City,97,28,69
The Gore Hotel Starhotels Collezione,327,45,282
The Hoxton Holborn,386,47,339
Mercure London Kensington Hotel,254,61,193
Royal Garden Hotel,407,68,339
Boundary Rooms Suites,6,1,5
Grange White Hall Hotel,126,11,115
Hilton London Bankside,463,66,397
DoubleTree by Hilton London Ealing,364,41,323
DoubleTree by Hilton London Victoria,579,72,507
St Ermin s Hotel Autograph Collection,207,33,174
Montagu Place Hotel,48,13,35
The Trafalgar Hilton,200,27,173
Park Lane Mews Hotel,615,189,426
Old Ship Inn Hackney,84,25,59
The Drayton Court Hotel,209,35,174
The Montcalm Marble Arch,460,117,343
The Colonnade,120,21,99
The Royal Horseguards,521,63,458
Grange Fitzrovia Hotel,253,47,206
The Hari London,91,13,78
citizenM London Bankside,821,186,635
Radisson Blu Edwardian Mercer Street,419,37,382
Twenty Nevern Square Hotel,484,119,365
The Abbey Court Notting Hill,55,13,42
Mondrian London,848,80,768
Karma Sanctum Soho Hotel,110,11,99
NH London Kensington,128,24,104
Simply Rooms Suites,53,19,34
The Academy,151,46,105
Le Meridien Piccadilly,133,27,106
The Kings Head Hotel,55,12,43
Montcalm Royal London House City of London,359,53,306
Conrad London St James,169,23,146
London Marriott Hotel West India Quay,749,49,700
London Hilton on Park Lane,163,34,129
Radisson Blu Portman Hotel London,431,86,345
The Portobello Hotel,47,10,37
Landmark London,176,21,155
Hilton London Metropole,1430,230,1200
Best Western Seraphine Kensington Olympia,211,50,161
Portobello House,67,9,58
Henry VIII,670,134,536
Goodenough Club,241,93,148
London Suites,70,24,46
Park Plaza Victoria London,710,144,566
Grange Beauchamp Hotel,186,29,157
The Franklin Hotel Starhotels Collezione,12,3,9
Club Quarters Hotel St Paul s,858,133,725
The Nadler Kensington,243,52,191
Rosewood London,169,32,137
Mayflower Hotel Apartments,532,98,434
Caesar Hotel,172,34,138
Hotel Xanadu,61,9,52
Draycott Hotel,63,20,43
DoubleTree by Hilton London Docklands Riverside,1299,112,1187
Bentley London,92,14,78
Park Grand Paddington Court,1273,285,988
The Zetter Townhouse Marylebone,35,9,26
The Levin Hotel,28,2,26
The Tophams Hotel,100,34,66
H10 London Waterloo,263,92,171
San Domenico House,59,15,44
Bloomsbury Palace Hotel,775,249,526
Innkeeper s Lodge London Greenwich,379,52,327
Holiday Inn London Mayfair,324,67,257
Paddington Court Executive Rooms,165,55,110
Novotel London Paddington,194,31,163
South Place Hotel,161,24,137
The Royal Park Hotel,84,12,72
Henley House Hotel,254,56,198
Holiday Inn London Camden Lock,360,33,327
DoubleTree by Hilton London Westminster,715,89,626
Blakemore Hyde Park,1186,179,1007
Hyatt Regency London The Churchill,106,15,91
Rathbone,181,43,138
Comfort Inn Suites Kings Cross St Pancras,253,58,195
The Queens Gate Hotel,645,58,587
Grange Langham Court Hotel,155,20,135
Radisson Blu Edwardian Hampshire,388,46,342
The Marble Arch London,257,63,194
Shangri La Hotel at The Shard London,535,33,502
Park Grand London Kensington,1071,176,895
Rocco Forte Brown s Hotel,27,5,22
The Beaufort,103,21,82
Blakes Hotel,44,5,39
The Westbridge Hotel,302,66,236
Courthouse Hotel Shoreditch,149,26,123
ME London by Melia,205,24,181
Grange Clarendon Hotel,226,34,192
Hotel Indigo London Kensington,179,20,159
Rafayel Hotel Spa,467,67,400
Norfolk Towers Paddington,928,216,712
Best Western Maitrise Hotel Edgware Road,116,45,71
Georgian House Hotel,213,43,170
The Chesterfield Mayfair,217,36,181
My Chelsea,228,69,159
Dukes Hotel,38,7,31
Radisson Blu Edwardian Berkshire,313,75,238
Pestana Chelsea Bridge Hotel Spa,378,69,309
Arbor Hyde Park,416,94,322
Great St Helen Hotel,310,162,148
United Lodge Hotel and Apartments,129,18,111
Eccleston Square Hotel,96,30,66
Nottingham Place Hotel,133,22,111
Strand Palace Hotel,2379,402,1977
Hilton London Olympia,549,173,376
Grange Buckingham Hotel,23,2,21
The Cleveland,170,42,128
Dorset Square Hotel,61,18,43
Rubens At The Palace,359,61,298
every hotel Piccadilly,257,35,222
Millennium Gloucester Hotel London,1360,244,1116
Fielding Hotel,376,48,328
DoubleTree by Hilton Hotel London Marble Arch,209,46,163
Holiday Inn London West,385,42,343
The Soho Hotel,60,9,51
Andaz London Liverpool Street,270,40,230
Novotel London Canary Wharf,83,14,69
citizenM Tower of London,959,263,696
Chiswick Rooms,196,66,130
Claridge s,66,8,58
La Suite West Hyde Park,169,36,133
St James Court A Taj Hotel London,1099,168,931
41,36,1,35
Shaftesbury Suites London Marble Arch,158,59,99
Grange Strathmore Hotel,281,42,239
The RE London Shoreditch,475,123,352
London City Suites,405,68,337
St George s Hotel Wembley,665,101,564
The Justin James Hotel,133,41,92
Millennium Hotel London Mayfair,601,118,483
The Curtain,14,5,9
45 Park Lane Dorchester Collection,8,2,6
Grange Tower Bridge Hotel,378,54,324
St Martins Lane A Morgans Original,238,39,199
Novotel London Blackfriars,226,30,196
Canary Riverside Plaza Hotel,67,11,56
The Marylebone Hotel,342,63,279
The Zetter Townhouse Clerkenwell,14,2,12
The Whitechapel,174,70,104
St George Hotel,78,22,56
The Premier Notting Hill,544,126,418
Holiday Inn London Whitechapel,187,34,153
Washington Mayfair Hotel,346,50,296
Radisson Blu Edwardian New Providence Wharf,575,40,535
Hilton London Tower Bridge,418,29,389
Novotel London Wembley,629,50,579
Threadneedles Autograph Collection,101,20,81
Sanderson A Morgans Hotel,148,23,125
The Arch London,71,12,59
Commodore Hotel,562,125,437
The Westbourne Hyde Park,135,28,107
The Lodge Hotel Putney,156,30,126
Shaftesbury Hyde Park International,611,107,504
The Montcalm At Brewery London City,715,139,576
BEST WESTERN Maitrise Hotel Maida Vale,499,123,376
Novotel London City South,157,34,123
The Dorchester Dorchester Collection,85,7,78
Hilton London Angel Islington,291,53,238
Fifty Four Boutique Hotel,193,31,162
The Sumner Hotel,142,35,107
W12 Rooms,242,65,177
Shaftesbury Premier London Paddington,873,228,645
Mimi s Hotel Soho,254,77,177
Holiday Inn London Oxford Circus,245,57,188
Dorsett Shepherds Bush,683,123,560
New Linden Hotel,580,122,458
Hazlitt s,124,12,112
Park Plaza London Waterloo,334,32,302
citizenM London Shoreditch,433,123,310
Sofitel London St James,176,21,155
Baglioni Hotel London The Leading Hotels of the World,63,12,51
DoubleTree by Hilton London Islington,466,74,392
Rydges Kensington Hotel,307,31,276
Club Quarters Hotel Lincoln s Inn Fields,523,100,423
Clayton Hotel Chiswick,514,96,418
Park Plaza London Park Royal,118,26,92
Best Western Palm Hotel,515,101,414
The Piccadilly London West End,533,75,458
Kingsway Hall Hotel,348,44,304
