Hotel,Count,Business,Leisure
Hotel Arena,259,29,230
Morgan Mees,86,10,76
Sir Albert Hotel,196,27,169
Corendon Vitality Hotel Amsterdam,597,83,514
Hampshire Hotel Rembrandt Square Amsterdam,434,125,309
Pillows Anna van den Vondel Amsterdam,26,2,24
Best Western Delphi Hotel,44,13,31
Apollofirst Boutique Hotel,190,20,170
Hilton Amsterdam,152,24,128
Apollo Hotel Amsterdam,452,79,373
Element Amsterdam,173,37,136
Urban Lodge Hotel,550,64,486
Hotel De Hallen,192,33,159
Chasse Hotel,79,5,74
NH Collection Amsterdam Grand Hotel Krasnapolsky,664,78,586
Park Plaza Victoria Amsterdam,860,85,775
Hotel Amsterdam De Roode Leeuw,91,13,78
Swiss tel Amsterdam,406,50,356
Holiday Inn Amsterdam,147,35,112
Jaz Amsterdam,659,125,534
Best Western Premier Hotel Couture,1048,75,973
Bilderberg Garden Hotel,328,65,263
NH Amsterdam Noord,70,7,63
Grand Hotel Downtown,250,17,233
Amadi Park Hotel,240,37,203
Novotel Amsterdam City,290,49,241
Savoy Hotel Amsterdam,131,42,89
Hotel Okura Amsterdam,237,47,190
Hotel V Fizeaustraat,177,26,151
Crowne Plaza Amsterdam South,132,35,97
WestCord Fashion Hotel Amsterdam,761,59,702
The Hoxton Amsterdam,212,37,175
Ambassade Hotel,244,31,213
Banks Mansion All Inclusive Hotel,176,10,166
Waldorf Astoria Amsterdam,62,8,54
NH Amsterdam Museum Quarter,137,16,121
Courtyard by Marriott Amsterdam Arena Atlas,168,23,145
Holiday Inn Amsterdam Arena Towers,139,15,124
Amadi Panorama Hotel,286,50,236
Room Mate Aitana,476,101,375
Hotel JL No76,170,18,152
Bilderberg Hotel Jan Luyken,212,25,187
Mercure Hotel Amsterdam City South,489,51,438
Dutch Design Hotel Artemis,267,28,239
Ozo Hotel,286,86,200
Renaissance Amsterdam Hotel,300,31,269
Canal House,101,11,90
The Toren,156,9,147
The Dylan Amsterdam,49,2,47
Park Plaza Vondelpark Amsterdam,377,31,346
Best Western Blue Tower Hotel,504,36,468
Hampshire Hotel Amsterdam American,709,61,648
Hampshire Hotel The Manor Amsterdam,255,35,220
Golden Tulip Amsterdam West,988,74,914
Mercure Amsterdam Sloterdijk Station,457,39,418
DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,181,20,161
Hotel V Nesplein,245,36,209
De L Europe Amsterdam,68,5,63
NH Collection Amsterdam Doelen,158,25,133
Hotel Die Port van Cleve,187,21,166
INK Hotel Amsterdam MGallery by Sofitel,459,32,427
Inntel Hotels Amsterdam Centre,404,66,338
Mercure Hotel Amsterdam Centre Canal District,163,14,149
DoubleTree by Hilton Amsterdam Centraal Station,653,70,583
Mercure Hotel Amsterdam West,285,31,254
Luxury Suites Amsterdam,94,13,81
Sofitel Legend The Grand Amsterdam,77,8,69
Sir Adam Hotel,65,14,51
Hampton by Hilton Amsterdam Centre East,181,26,155
M venpick Hotel Amsterdam City Centre,272,43,229
Grand Hotel Amr th Amsterdam,329,39,290
art otel Amsterdam,389,47,342
NH Collection Amsterdam Barbizon Palace,408,62,346
Pulitzer Amsterdam,151,22,129
Dikker en Thijs Fenice Hotel,297,26,271
Andaz Amsterdam Prinsengracht A Hyatt Hotel,99,7,92
Hotel Seven One Seven,10,3,7
citizenM Amsterdam,696,171,525
InterContinental Amstel Amsterdam,16,3,13
Golden Tulip Amsterdam Riverside,352,30,322
NH Amsterdam Caransa,140,21,119
NH Amsterdam Schiller,269,38,231
Royal Amsterdam Hotel,83,14,69
The College Hotel,98,17,81
Hotel Roemer Amsterdam,151,13,138
Radisson Blu Hotel Amsterdam,592,70,522
Hyatt Regency Amsterdam,39,5,34
Fletcher Hotel Amsterdam,375,85,290
Hotel Esther a,919,62,857
Best Western Plus Hotel Blue Square,359,28,331
WestCord Art Hotel Amsterdam 4 stars,279,18,261
W Amsterdam,124,15,109
NH City Centre Amsterdam,475,36,439
Ramada Apollo Amsterdam Centre,1059,104,955
Amsterdam Marriott Hotel,218,22,196
Park Hotel,366,54,312
NH Amsterdam Centre,213,22,191
Conservatorium Hotel,63,4,59
NH Amsterdam Zuid,127,45,82
NH Carlton Amsterdam,654,95,559
Albus Hotel Amsterdam City Centre,112,11,101
Hotel Vondel Amsterdam,351,44,307
Boutique Hotel Notting Hill,378,41,337
Amsterdam Canal Residence,44,3,41
The Student Hotel Amsterdam City,885,118,767
total,,4043,27710
