Hotel,Count,Business,Leisure
Sansi Diputacio,32,5,27
The One Barcelona GL,48,6,42
Catalonia Port,90,8,82
Eurostars Angli,52,11,41
Catalonia Catedral,229,21,208
Axel Hotel Barcelona Urban Spa Adults Only,333,27,306
Cram,83,6,77
Room Mate Gerard,7,0,7
H10 Marina Barcelona,194,20,174
Barcelona Princess,526,76,450
Novotel Barcelona City,162,11,151
The Gates Diagonal Barcelona,171,22,149
AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,31,7,24
Wilson Boutique Hotel,82,6,76
NH Hesperia Barcelona Presidente,62,17,45
Hilton Barcelona,24,4,20
Vincci Mae,60,8,52
Fairmont Rey Juan Carlos I,106,40,66
Pullman Barcelona Skipper,143,13,130
Hotel Ciutadella Barcelona,54,11,43
Catalonia Atenas,632,50,582
Tryp Barcelona Apolo Hotel,119,19,100
Sansi Pedralbes,19,7,12
Crowne Plaza Barcelona Fira Center,60,10,50
Gran Hotel Torre Catalunya,193,26,167
H10 Itaca,75,4,71
Hotel Abbot,19,2,17
Sercotel Amister Art Hotel Barcelona,49,3,46
Melia Barcelona Sarri ,61,9,52
ABaC Restaurant Hotel Barcelona GL Monumento,14,1,13
Col n Hotel Barcelona,211,11,200
Hotel SB Icaria Barcelona,499,28,471
Hotel Barcelona Universal,146,10,136
Aparthotel Arai 4 Superior,98,0,98
NH Collection Barcelona Podium,85,5,80
Hotel Ronda Lesseps,51,5,46
Hotel Barcelona Center,147,13,134
Olivia Balmes Hotel,228,14,214
Catalonia Diagonal Centro,132,13,119
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,24,3,21
Catalonia Plaza Catalunya,476,40,436
Hotel Regina,291,36,255
Hotel Pulitzer,233,28,205
Hotel Alimara,121,18,103
Petit Palace Boqueria Garden,458,24,434
Mercer House B ria BCN,55,3,52
Catalonia La Pedrera,88,15,73
Ohla Eixample,134,15,119
Hotel Villa Emilia,93,5,88
TWO Hotel Barcelona by Axel 4 Sup Adults Only,281,21,260
Hotel Best Western PLUS Alfa Aeropuerto,314,47,267
AC Hotel Irla a Marriott Lifestyle Hotel,4,2,2
Hotel Barcelona Catedral,420,17,403
Arenas Atiram Hotels,30,12,18
Senator Barcelona Spa Hotel,336,49,287
Room Mate Anna,161,20,141
Gran Hotel La Florida,107,4,103
Ayre Hotel Caspe,348,30,318
Zenit Borrell,49,3,46
U232 Hotel,97,6,91
