Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,5/7/2017,8.1,Hotel Bellevue Wien, Serbia , As already noted by others WiFi could be improved Kitchen smell at the groud and lower floors however there was no smell at all in the room Yet some ventilation could be improved to prevent such an experience in some areas rooms ,44, Great location close to metro and even closer to tram going directly to the center Clean and tidy excelent breakfast Gym in the hotel did not use however ,30,9.2,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,5/7/2017,8.1,Hotel Bellevue Wien, Austria , In the Lobby corridors and breakfast area there was a strong terrible annoying smell of fried cooking oil ,20, The bed was comfy and bathroom big and very clean ,12,7.5,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,3/24/2017,8.1,Hotel Bellevue Wien, Croatia , Bathroom doesn t really have much space to put out your things but given that the building is bit older I don t think that there is anything to be done about it Also the elevators were a bit slow ,42, Staff was very friendly and excellent Bed was extra comfortable Free wi fi Food in the restaurant is great very tasty and the portions are really big ,29,9.6,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,3/6/2017,8.1,Hotel Bellevue Wien, Kuwait , There was no garbage basket in the room They did not put new tea or coffee bags every day in fact last 2 days of my stay they did not put any,33, Very helpful front desk employees Near tram and metro stations Near to nice and not expensive food shops,19,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,2/6/2017,8.1,Hotel Bellevue Wien, Belgium , The staff was not helpful The WIFI was not working in the room No electric sockets near the bed in ALL hotel rooms The Hot water was not working in the bathroom they promised to send a technician but no one come to help me Really SHAME ,49, The location of the Hotel The Breakfast ,9,2.9,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,3/3/2017,8.1,Hotel Bellevue Wien, Qatar , Nothing much ,4, The breakfast was nice and we got a free upgrade The staff was nice and helpful ,18,9.6,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Althanstra e 5 09 Alsergrund 1090 Vienna Austria,21,12/9/2016,8.1,Hotel Bellevue Wien, Poland , WiFi performed poorly in the room,7, Excellent breakfast staff nice and helpful very good connections to many parts of the city,16,8.8,"[' Business trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 4 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,7/10/2017,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Germany , The breakfast area was very hectic and crowded Staff did not manage to remove used plates deliver drinks and set the tables at the same time I would recommend to put also some Austrian wine in the minibar not just beer ,43, Comfortable accommodation opposite Akademietheater and Konzertverein lovely for music addicts during the concert season Next metro station Stadtpark is about 500 m to walk Room was big enough well equipped with tea kettle and Wifi beds were comfortable and the air condition worked very well Fresh mineral water for free every day Bathroom was also well equipped even though taking a shower caused some flooding on the floor ,70,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 4 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,4/21/2017,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Belgium , Restaurant has basic dinner with little choice Breakfast very good Service in evening restaurant leaves a lot to be desired slow forgetful inattentive ,25, Excellent value for money nothing to improve except restaurant ,11,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,2/12/2017,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Italy , Location central but on a busy street Room quiet but no view ,14, The queensize bed was really extra comfy Breakfast was generous and fresh Staff at front desk very helpful with every wish or question I had ,27,7.9,"[' Business trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,11/12/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Czech Republic , very unreliable and slow internet connection practically unusable for work heating not working even when freezing outside so temperature in the room was far from comfortable,27, perfect location own easily accessible garage very good breakfast,10,7.9,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 1 night ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,9/27/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Romania , The personal from cleaning not performed cleaning of room does t change the things from bathroom ,18, The personal very professional and dedicated from restaurant on breakfast ,12,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,7/21/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Armenia , Wi Fi is very slow and needs to be upgraded ,12, The location is really perfect The center of Vienna is just 10 15 meters of walk distance The staff is very friendly and helpful The rooms are clean and the breakfast is also very good ,37,9.2,"[' Business trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 6 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,7/18/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Germany , The room was on the top and I add always a kind of background noise most probably from some AC engine for me it was ok since I was extremely tired and I could sleep anyway but some people may not like it The facilities are very very old and need a urgent refurbishment The TV was a smart TV from the early 00 s with a very very bad signal reception ok I was not there to watch tv but at least I would like to actually be able to watch a TV channel if I need want to If the mattress could speak she would probably tell you some good stories as it was old and used for good All these aspects are ok if you don t care too much or if we are dealing with a cheap hotel But I wasn t expecting this from a supposedly good brand I stayed in IBIS and Holiday Inn much better than this for half of the price ,171, The location Cleanliness and the fact that the Hotel provided instant coffee and tee you could use for your breakfast Bathroom goodies were also very good ,28,5.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 5 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,7/15/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Canada , Breakfast time is very crowded Most days we had to wait to be seated which is not a problem in itself you just need to be aware and plan accordingly if time is an issue for you But breakfast is included and worst the wait ,47, The location is great You can easily just walk to all the main attractions But even though the hotel is very close to the city centre it s located at a fairly quiet street I was placed in a very quiet room perfect for a good night sleep after all the sightseeing ,54,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 5 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,5/1/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Romania , TV was not working properly even I did not have breakfast I heard complains that is very hard to find a table as is overcrowded the elevators are very old need a modernization,34, The location the room size amenities in the room personnel at the front desk,15,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,3/3/2016,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, United Kingdom , Breakfast the staff were very slow in providing coffee tea and on one morning forgot even after being reminded Otherwise the quality of breakfast was good but it is better if you have coffee ,36, the comfort of the room the overall ambiance of the hotel the friendliness of the reception,17,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,10/22/2015,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, United Kingdom , One of the ceiling lamps didn t work One of the bins contained waste from the previous occupier when I arrived and there was a cleaning cloth left in the bath tub Kettle was awful and I almost burnt myself when I touched its handle as it wouldn t switch off automatically ,54, Central location warm inside quiet,6,5.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,5/19/2017,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Sweden , Restaurant was not terrific ,6, Fine hotel ideally located ,6,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 1 night ']"
