Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,7/12/2017,8.9,Hotel VIU Milan, Belgium , Not the best neighborhood in Milan right next to the milanese chinatown and garibaldi area such a shame ,20, Brand new and beautifully designed hotel bar and restaurant were amazing ,13,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,6/16/2017,8.9,Hotel VIU Milan, Saudi Arabia , Nothing except the Location but everything was perfect ,10, The entire staff was absolutely amazing The room was both beautiful and extremely comfortable ,16,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room with Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,6/15/2017,8.9,Hotel VIU Milan, United Kingdom , I asked for a quiet room on check in I stayed in room 101 Its was next to a access staff door that bangs allot throughout the night I had a terrible nights sleep The corridors have a weird smell Maybe its the new carpet ,47, This is the second time I ve stayed I really want this hotel to work for me as my office is around the corner The small terrace part of room 101 is really nice ,36,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 2 nights ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,5/22/2017,8.9,Hotel VIU Milan, United Kingdom , Overdesigned bathroom You can t turn off the taps with wet hands There are no grips Breakfast needs a re think Bread basket too so long to arrive Cold breakfast needs a clean edit ,36, Really friendly check in Super modern new hotel Comfortable rooms Near to the Ceresio 7 another roof top bar and pool Hotel pool great to sit around and have drinks Its not really managed though in the day ,40,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,5/21/2017,8.9,Hotel VIU Milan, Belgium , Very expensive daily rate for level of service received Expensive breakfast with only 1 basket of bread croissants even if multiple people pay for it A C was acting out only 1 single free water bottle for the all stay and tap water in the room had a strange smell taste finally shower was leaking ,57, Very good looking hotel staff was ok,8,5.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,4/6/2017,8.9,Hotel VIU Milan, Ukraine , Because the hotel is new there are certain things that still need to be worked on For example there was a wooden panel part of the wardrobe that fell on my feet because it was detached from the console Stuff is great but sometimes get lost a bit with the simplest requests I am sure all of these small drawbacks is just a matter of experience and will be smoothed out in the future because the place is just superb ,82, The hotel is new so all the advantages come with the added bonus of the newness in everything Towels are soft and fluffy as are bathrobes Bed very comfortable excellent pillows and stunning linen Loved the control panel for the lights beside the bed Room very spacious and I loved the design and all the details Blackout curtains do their job well and I was able to get a good sleep in a completely dark room Complimentary mineral water provided Bathroom was well stocked with all necessary supplies and very very clean absolutely spotless Breakfasts are excellent never had baked goods so fresh in any other hotel Excellent food and coffee Stuff friendly and helpful Location ia quite central right by Chinatown and districts with cafes and restaurnats 10 min drive to the centre centre Would definitely recommend and return,141,10.0,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,30,8/3/2017,8.9,Hotel VIU Milan, Saudi Arabia , Location in China town,5, The design the quality of Furnture the roof bar,10,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,2/10/2017,9.1,Maison Borella, United Kingdom , i wish the leaves decoration in front of my door could have been has clean as tidy as the other rooms nearby ,24, The style and decoration of the entire hotel makes it warm and welcoming ,15,10.0,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,10/3/2016,9.1,Maison Borella, United Kingdom , It was difficult to get a comfortable temperature in the room I played around with the air con may be it is just me There 3 different flashing lights in the room which were distracting when trying to sleep WiFi was a little hit and miss ,48, Location is very good close to lots of restaurants and in a lively area Staff were polite and attentive The interior of the communal areas and the courtyard are very nice Room was minimalistic with a good bathroom and shower Breakfast was a standard buffet and nothing special ,50,8.3,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 1 night ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,3/7/2016,9.1,Maison Borella, Switzerland , Hotel charged us the original booking instead of the modified 25 EUR cheaper The room was small and everything else that you can expect from a 4 ,29, Breakfast was very good,5,5.4,"[' Business trip ', ' Couple ', ' Superior Double or Twin Room with Courtyard view ', ' Stayed 1 night ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,2/10/2016,9.1,Maison Borella, United States of America , No suggestions I thought the stay was one of my best stays in Milan where I travel often for business ,22, Rooms were outstanding and beautiful Very comfortable bed loved the rooftop room I had The restaurant is also very nice and is itself one of the better choices in the Navigli District Location is one of the better locations in Milan and fun but can get noisy as it tends to be a little more touristy and night life oriented ,62,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room with Courtyard view ', ' Stayed 1 night ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,4/10/2017,9.1,Maison Borella, United States of America , Sometimes small maintenance issues with fixtures bathroom equipment ,10, Intimate feel comfortable great location excellent breakfast and restaurant ,11,9.2,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 2 nights ']"
Alzaia Naviglio Grande 8 Navigli 20144 Milan Italy,73,1/31/2017,9.1,Maison Borella, Belgium , Rooms could have been more insulated against noise,9, Excellent location beautiful building a lot of choice for breakfast,11,9.2,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,7/30/2017,8.6,Worldhotel Cristoforo Colombo, Malta , Everything was excellent No other comment needed,8, Hotel is in an excellent location on one of the main shopping streets of Milan A metro station to the M1 line is just outside walking distance to the Stazione Centrale the site seeing tour bus stop is 20 m away a good selection of restaurants in the vicinity ,51,10.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 3 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,5/22/2017,8.6,Worldhotel Cristoforo Colombo, Italy , the room was rather small at least mine Breakfast was ok but it could be better Not exactly a great value for money I would add rather a fair one ,32, The location is rather good easy to get there also walking from the main train station The hotel has a very nice lobby and restaurant excellent for informal meetings ,31,7.5,"[' Business trip ', ' Solo traveler ', ' Comfort Single Room ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,4/29/2017,8.6,Worldhotel Cristoforo Colombo, Singapore , Breakfast was good however if you could include kiwi banana or any other fruits would be awesome Also the reception if they can be more welcoming would be awesome ,31, the breakfast area staff are attentive well mannered many likes Breakfast was good however if you could include kiwi banana or any other fruits would be awesome Room was good size for 1 amenities in room good wifi works well mini bar in room was superb location just steps away from P Ta Venezia red line Metro ,59,9.2,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 7 nights ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,4/28/2017,8.6,Worldhotel Cristoforo Colombo, Latvia , Staff at reception was unprofessional we had to give passports twice because they forgot to give third room and looked at us very surprised why we are not walking away to our rooms Rooms are tiny double room had only one set of towels one robe and slippers Non smokers where placed into smoking floor and room noone asked if this is ok Breakfast so so very superfically ,70, Complimentary rose during meeting,5,5.8,"[' Business trip ', ' Couple ', ' 2 rooms ', ' Stayed 1 night ']"
Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,282,3/27/2017,8.6,Worldhotel Cristoforo Colombo, United Kingdom , big difference in standard of 4 th floor and level 5,12, hotel has renovated part and not renovated You have to check where is the room Renovated part is excellent unfortunately I have stayed 4 days in not renovated part I will give 3 star only,36,9.6,"[' Business trip ', ' Family with young children ', ' Basic Single Room ', ' Stayed 4 nights ']"
