Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/6/2017,7.7,Hotel Arena, France , 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ,75, Style location rooms,4,5.8,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/22/2017,7.7,Hotel Arena, France , Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,31, Great hotel original concept style,6,8.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/26/2017,7.7,Hotel Arena, Ireland , not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,18, the building meeting rooms modern style of my room park,11,7.1,"[' Business trip ', ' Group ', ' Duplex Double Room ', ' Stayed 1 night ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/14/2017,7.7,Hotel Arena, Switzerland , Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,110, Love the design of the renovated product The park nearby for a walk ,15,2.9,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/10/2017,7.7,Hotel Arena, United Kingdom , Water pressure in my shower was no existent Feel bad even saying that ,15, Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back,23,9.6,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,3/22/2017,7.7,Hotel Arena, United Arab Emirates , Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here,53, clean and new,4,5.4,"[' Business trip ', ' Couple ', ' Large King Room ', ' Stayed 1 night ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,2/17/2017,7.7,Hotel Arena, United Kingdom , there was construction work going on in the hotel which i was not expecting and would like to have known about in advance the bar staff we not keen to serve use when we arrived late from the airport at 11 30pm despite at check in being told the bar was open until 12 mid night ,58, location in the park Cool interior design comfy bed ,11,7.1,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 1 night ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/31/2016,7.7,Hotel Arena, Switzerland , The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy ,45, The restaurant opened 2 days before however the food was good especially the burger Good breakfast with fresh orange juice WIFI in all hotel,25,7.9,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 2 nights ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/13/2016,7.7,Hotel Arena, Switzerland , The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere ,39, It s a beautiful hotel or should I say will be when the renovation is finished ,18,7.1,"[' Business trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 2 nights ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/12/2016,7.7,Hotel Arena, United Kingdom , In a terrible state with builders everywhere We had to wait to get into our room as the conference event builders were blocking the door Our room that we were told was new was in a poor state of repair ,42, Good location Cheap ,5,5.0,"[' Business trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,9/19/2016,7.7,Hotel Arena, Ireland , split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing ,45, beautiful surroundings great location Old world style of the hotel is really different,14,6.3,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 2 nights ']"
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,9/12/2016,7.7,Hotel Arena, United Kingdom , Hotel is having some construction work done this I can live with the tables and general cleanliness of the restaurant was not 4 star all the surfaces were sticky and full of old food the room had a very narrow and steep staircase to get to the bed really difficult to come down I thought,56, Location was ok and has access to all the public transport a very pleasant park is situated next good for a jogger or just a stroll ,28,4.6,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
