Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags
234 Diputacio Eixample 08007 Barcelona Spain,27,6/30/2016,7.8,Sansi Diputacio, Hungary , to be asked to forward my booking com booking via e mail upon check in being told that it is company policy the bed which had a very cheap mattress that my room was not cleaned while I was there,41, location smiley staff,4,5.8,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']"
234 Diputacio Eixample 08007 Barcelona Spain,27,6/20/2016,7.8,Sansi Diputacio, Spain , Yeah the glass bathroom doors is a designer s fail but not a tragic issue Would be nice to have kettle and tea coffe self service in room available but that doesn t seem to be a 4 service standard in Barcelona ,44, The staff provided probably the best service I ve come across in Barcelona and I ve been staying in a lot of hotels in this city over the past year All the little details of a great hospitality level calling the elevator and actually acompanying to the room to make sure the key was working helping with luggage even if it was just a carry on etc The room was comfortable clean looked fresh and nice ,78,9.2,"[' Business trip ', ' Couple ', ' Twin Room ', ' Stayed 2 nights ']"
234 Diputacio Eixample 08007 Barcelona Spain,27,12/21/2016,7.8,Sansi Diputacio, Turkey , Car parking is expensive in that location,8, Location is great bed is big and comfortable,9,8.3,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']"
234 Diputacio Eixample 08007 Barcelona Spain,27,7/29/2016,7.8,Sansi Diputacio, United Kingdom , All was good,4, Very helpful staff Karim was great,7,10.0,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']"
234 Diputacio Eixample 08007 Barcelona Spain,27,2/4/2016,7.8,Sansi Diputacio, Bulgaria , No fresh air because no possible to open the windows ,12, Perfect service Cozy and nice room big bath Easy and nice location ,14,10.0,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']"
277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,5/20/2017,9.4,The One Barcelona GL, Germany , My room was small definitely not 30 sq meters advertised as Deluxe Room It also did not have a bath tub which seems odd for a 5 hotel The no disturb button by the bed was so bright that I had to cover it with a towel to be able to sleep The pool opening times are unideal for business travellers closing at 9pm and opening at 11am Gets hard to enjoy it if you are arriving late after business day and have to depart early in the morning Breakfast menu is beyond expensive Paid ca 50 euros for one person breakfast a la carte and there is no buffet ,112, Location is very nice Well equipped gym Friendly staff SPA area rooftop pool ,15,7.9,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room with City View ', ' Stayed 1 night ']"
277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,3/11/2017,9.4,The One Barcelona GL, United Kingdom , Room design is awkward Lift sound is heard in the room Breakfast good but limited choices ,18, Helpful and friendly staff Cleanliness Excellent house keeping Limited English tv channels,13,7.5,"[' Business trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,3/8/2017,9.4,The One Barcelona GL, Singapore , No complaints ,4, The service staff at the hotel were great and very welcoming The concierge gave good tips on exploring the city and we re very helpful in arranging my onward transfers ,32,9.6,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,2/26/2017,9.4,The One Barcelona GL, Germany , The welcoming at reception was not really professional Very basic and poor for a Five Star hotel ,19, The rooms and the beds are fantastic as well as the design Concierge are very friendly and helpful ,20,8.8,"[' Business trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,5/20/2017,9.4,The One Barcelona GL, Spain , lobby is a bite small,6, room design so modern and high tech,8,10.0,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
